2698,,ROOF at Whole Foods,Other,"214 3rd Street, Brooklyn, NY 11215",8 am to 11 pm,,
2697,,Gregory's Coffee,Coffee Shop,"6 E 46th Street, New York, NY 10017",,Unknown,essgeeheff
2696,,Ziegfeld Theatre,Other,141 W. 54th Street,,Unknown,
2695,,T,Coffee Shop,,D,,
2694,,Willowbrook Park,Public,Richmond Ave & Vitory Blvd,park hours,no,
2693,,Todt Hill Playground,Public,Schmidts Ln & Manor Rd,park hours,yes,
2692,,Terrace Playground,Public,Howard Ave & Martha St,park hours,yes,
2691,,Stapleton Playground,Public,Tompkins ave & Broad St,park hours,yes,
2690,,South Beach Wetlands,Public,Quintard St. Bet. Quincy Ave & Father Capodanno Bl...,park hours,yes,
2689,,South Beach,Public,Natural Area and Broadwalk from Sands Lane to Vulc...,park hours,yes,
2688,,Silver Lake Park,Public,Victory Blvd & Clove Rd & Forest Ave,park hours,no,
2687,,Schmul Park,Public,Wild Ave & Pearson St,park hours,no,
2686,,Prescott Playground,Public,Hylan Blvd & Huguenot Ave,park hours,no,
2685,,Old Town Playground,Public,Parkinson Ave & Kramer St,park hours,no,
2684,,Midland Playground,Public,Lincoln ave & Mason ave,park hours,no,
2683,,Midland Field,Public,Midland Ave & Mason Ave,park hours,yes,
2682,,Midland Beach & Boardwalk,Public,Natural Area and Boardwalk from Sands Lane to Vulc...,park hours,yes,
2681,,McDonald Playground,Public,Forest Ave & Myrtle Ave between Broadway &...,park hours,,
2680,,Markham Playground,Public,Willowbrook Pkwy & Forest ave & Houston St,park hours,yes,
2679,,Mahoney Playground,Public,Beechwood ave & Cleveland ave,park hours,no,
2678,,Lyons Pool,Public,Pier 6 & Victory Blvd,park hours,yes,
2677,,Levy Playground,Public,Jewett ave & Castleton ave,park hours,no,
2676,,Joline Pool Playground,Public,Joline Ave & Hylan Blvd,park hours,yes,
2675,,High Rock Park,Public,Richmond Pkwy & Moravian Cemetery at Rockland Ave,park hours,yes,
